אימר,"אומָר, אֹמַר"
אימר,"אומַר, אמור"
אימרא,שֶּׂה
אימת,מתי
אימתא,אֵימָה
אימתי,מָתַי
אימתי,מתי
אימתכון,חִתְּכֶם
אין,"הן, כן"
אין הכי נמי,כן - כך גם כן
אינהו,הם
אינון,הם
אינון,הֵם
איני,(=אין היא) כך היא?
איני,באמת כך הוא (בתמיהה)
איניש,אדם
איניש,"איש, אדם"
אינך,"ההם, האחרים"
אינך,הללו
אינש,אנוש-אדם
אינש,"איש, אדם"
אינשא,אָדָם
אינשי,"שכח, בני אדם"
אינשי,אנשים
איסורא,איסור
איסורא,"איסור, דבר אסור"
איסורייתא,איסורייתא חבילות
איסמיה,אמחוק אותו
איסר,מטבע
איסתירא,מטבע
איסתר,מטבע
איסתרא,מטבע
איעביד,אעשה
איעברא,נתעברה
איעול,אָבוֹא
איעול,אֶכָּנֵס
איעקר,נהיה עקר
איערב,העריב
איפגר,התבּטּל
איפגרת,הִתְבַּטַּלְתָּ
איפוך,הפוך. החלף
איפוק,אצא
איפחית,"נפחת, נשבר"
איפכא,להיפך
איפכא,"הֵפֶךְ, היפוך"
איפכא מסתברא,מסתבר הפוך
איפלג,נחלק
איפלגו,נחלקו
איפלוג,"נחלקו, נתחלקו"
איפליגו,נתחלקו
איצטריך,הצרך
איצטריכא,צריך
איצרא,"עצירה, סחיטה"
איקלע,נקלע למקום
איקלע,נקלע הזדמן
איקרון,אִקרוּן - נקראים
איריא,שייך
אישתא,"אש, קדחת."
אישתיירי,נותרתי
אישתיק,שתק
אישתכח,נמצא
אישתלי,"שכח, שגג"
אישתמודע,היכר
אישתמודענא,הכרנו
אישתמיט,"נשמט, נשכח, התחמק."
אישתמע,נשמע
אישתעי,"סיפר, דיבר."
אישתעיא,סיפרה
אישתקיל,"נלקח, ניטל"
אית,יש
אית,יֵשׁ
איתא,לְכָה
איתא,"אם איתא. אם ישנה., יֶשְנַה"
איתה,יֶשְנַה
איתה,"הביא, הביא אותה"
איתוב,אשוב
איתותב,הושב
איתזק,ניזוק
איתחזי,"נראה, מתראה"
איתי,הֵבִיא
איתי,אבוא
איתיאו,"הָבִיאוּ, הֵבִיאוּ"
איתיביה,השיבו.
איתיביה,השיב לו (במשמעות הקשה עליו קושיה)
איתיה,ישנו
איתיו,הביאו
איתיכון,יֶשְׁכֶם
איתימא,"יש אומרים, אם תאמר"
איתימא,אם תאמר
איתיתא,הֵבֵאתָ
איתמר,הקדמה למחלוקת אמוראים
איתמר,"נאמר, איתמר עלה. נאמר עליה"
איתנגיד,גוע ופרחה נשמתו
איתנה,"הֲבִיאֹתִיו, אֲבִיאֶנּוּ"
איתתא,אשה
איתתא,אִשָּׁה
איתתיה,אישתו
אכדין,אֵיךְ
אכול,אוּכַל
אכולהו,על כולם
אכל,אוֹכֵל
אכלין,"אֹכְלִים, אָכְלוּ"
אכלית,אכלתי
אכלן,אכלו
אכלת,אכלה
אכלתה,אֲכָלָתְהוּ
אכסא,על כוס
אכסדראין,מסדרונות
אכריזו,קראו (הכריזו)
אכתי,עדיין.
אלביש,הלביש
אלבישינון,הלביש אותם
אלבישת,הִלְבִּישָׁה
אלהא,"אֵל, אלהים, אֱלֹהֵי"
אלהה,אֱלֹהֵי
אלהים,אֱלֹהִים
אלהך,אֱלֹהֶיךָ
אלהכון,אֱלֹהֵיכֶם
אלהן,אִם
אלויאו,שלחוּ
אלולפון,לוּלֵא
אליבא,"(=על לב) על דעת..., על פי שיטתו של..."
אליבא,לשיטתו
אלילי,מְרַגְּלִים
אלים,חזק
אלימי,חזקים
אלין,אֵלֶּה
אלין,אלה
אלמא,"כלומר, למה, הרי,תקיף"
אלמא,הרי ש...
אלמה,למה
אלן,אֵלֶּה
אלפין,אַלְפֵי
אם תבעיון בעיו,"אם תשאלו, שַׁאֲלוּ"
אם תמצא לומר,אם תשיב לשאלה הקודמת באופן זה ... אז יש מקום לשאול ...
אם תמצי לומר,אם תימצי לומר. אם תשיב לשאלה הקודמת באופן זה ... אז יש מקום לשאול ...
אמא אוזיפת לברתא מאנהא,אמא השאילה בגדיה לבִתה
אמאי,(=על מה) מדוע
אמבוהא,חבורה
אמגושי,"כהן דת פרסי, מכשף"
אמה,"אֵם (אימו של), אִמּוֹ"
אמהו,שִׁפְחָה
אמהן,שְׁפָחוֹת
אמהתא,שפחות
אמוראה,אֱמֹרִי
אמוראה,אמורי
אמוראי,אֱמֹרִי (שם של עם)
אמוריה,מתורגמנו
אמחי,אֶמְחֶה
אמטינהו,הביאום
אמטר,הִמְטִיר
אמין,אַמָּה
אמינא,אמרנו
אמינא,אומר
אמית,המית
אמיתה,המית אותו
אמלי,"אמלא, אֶשְׁאָב"
אמלל,אדבר
אמר,שֶׂה
אמרי,אומרים
אמרי,"אמרתי, אומרים"
אמריא,כְּשָׂבִים
אמרין,"אמרו, אֹמְרִים"
אמרינן,"אנו אומרים, אמרנו"
אמרית,אָמַרְתִּי
אמריתה,אמרתיה
אמריתו,אמרתם
אמרן,אמרו (לשון נקבה)
אמרן,אמרנו
אמרנא,אמרנו
אמרת,"אָמְרַה, אָמְרַה"
אמרתון,אֲמַרְתֶּם
אמשנך,אֲמֻשְׁךָ
אמתא,"אַמָּה, שִׁפְחַת (בסמיכות), שִׁפְחָה"
אמתה,"שִׁפְחָתָהּ, שִׁפְחָתוֹ"
אמתי,שִׁפְחָתִי
אמתיך,שִׁפְחָתֵךְ
אן,"אֵי (היכן), אַיֵּה"
אן,איפה?
אנא,אני
אנא,"אָנֹכִי, אֲנִי"
אנדרוגינוס,אדם שיש לו איברי מין נשיים וגבריים
אנון,"הֵמָּה, הֵם"
אנחה,"הניחהּ, הוא הניח אותה"
אנחנא,אֲנָחְנוּ
אניסו,גָּזְלוּ
אנן,אנחנו
אנפוריא,חדשים
אנפין,פנים
אנפשיה,"על נפשו, על עצמו"
אנש,אִישׁ
אנשא,אָדָם
אנשיה,שכח אותו
אנשין,אַנְשֵׁי
אנת,אתה
אנתו,אִשָּׁה
אנתו,אתם
אסא,"מרפא,רפואה, הדס"
אסא,הדס
אסב,אֶקַּח
אסברה לי,הסביר אותה לי
אסברה לך,אסביר אותה לך
אסברה ניהלי,הסביר אותה לי
אסברה ניהליה,הסביר אותה לו
אסבריה,הסביר לו
אסגאה,הַרְבָּה
אסגו,הַרְבּוּ
אסגי,"הַרְבֵּה (פועל), אַרְבֶּה"
אסגיתא,הגדלת
אסגנך,אני הרבה אותך
אסדוהי,מְרַאֲשֹׁתָיו
אסהדת,הֵעַדְתָּ
אסהיד,"העיד, העֵד (ציווי)"
אסהידו,העידו
אסהידת,העידותי
אסו,מלשון רפואה
אסוותא,רפואה
אסוקי,להעלות
אסותא,מרפא. רפואה
אסותא,רֹפְאִים
אסח דעתיה,הסיח דעתו
אסחו,רַחֲצוּ
אסחי,רחץ
אסחר,סובב
אסחרו,ישבו
אסטומכא,קיבה
אסטניס,מפונק
אסי,ריפֵּא
אסי,"תַאֲוָה, ריפא"
אסי,"מרפא,רפואה"
אסיא,רופא
אסיק,העלה
אסיק,עָלַה (למעלה)
אסיק,"הֶעֱלָה, הַעֲלֵה"
אסיק אדעתיה,העלה על דעתו
אסיקו,הַעֲלוּ
אסיקו,העלו
אסיקתיה,העלית אותו
אסיר,אָסוּר
אסיר,אסור
אסירין,אֲסוּרִים
אספקלריא,"ראי,מראה."
אספקלריאה,מראה
אסק,אֶעֱלֶה
אסקה,הַעֲלֵהוּ
אסקיה,הֶעֱלָהוּ
אסקינהו,העלוהו
אסקנך,אַעַלְךָ
אסרן,אֲלֻמִּים
אסרתי,אֲלֻמָּתִי
אסרתכון,אֲלֻמֹּתֵיכֶם
אסתכי,"השקיף (הסתכל), הַבֶּט"
אסתלק,הלך
אסתמיכו,הִשָּׁעֲנוּ
אסתמר,הִשָּׁמֶר
אסתרס,סורַס
אעבד,"אֶעֱשֶׂה, אֶעֱשֶׂה, אֶעֱשֶׂהּ, אֶעֱשֶׂה"
אעבדנך,אֶעֶשְׂךָ
אעביד,אעשה
אעביד,אֶעֱשֶׂה
אעבר,"הֶעֱבִיר, יַּעֲבֵר (העביר את), אֶעֱבֹר"
אעדו,הָסִרוּ
אעדי,הסיר
אעדיאת,הסירה
אעול,אבוא
אעי,עֲצֵי
אעיא,עֵצִים
אעיל,"הביא, הָבֵא"
אעיל,הכניס
אעילו,הִכניסוּ
אעלה,"הביא אותו, הביא אותה"
אערע,פוגש
אעתרית,הֶעֱשַׁרְתִּי
אף,גַּם
אפאה,פָּנֶיהָ
אפאי,פָּנַי
אפדנא,ארמון
אפדני,ארמונות
אפדניה,ארמונו
אפדנייהו,ארמונותיהם
אפדנייכו,ארמונותיכם
אפה,פניהַ
אפוהי,פָּנָיו
אפוטרופוסא,מֵליץ
אפוקי,להוציא
אפושי,להרבות
אפותא,מצח
אפי,"אֱפֵה, אופה, פנים"
אפי,"פְּנֵי, פָנָי"
אפי נפשה,בפני עצמו
אפי תהומא,פני תהום
אפיא,פנים
אפיה,פניו
אפיהון,פניהם
אפיהון,פְנֵיהֶם
אפייהו,פניהם
אפייכו,פניכם
אפיך,פָנֶיךָ
אפיכון,פניכם
אפיכון,פְּנֵיכֶם
אפיכנא,אני הופך
אפין,פָּנִים
אפיק,"הוציא, הוצֵא, אוציא"
אפיק,"הַיְצֵא (הוצא), הוֹצִיא, הוֹצֵא, יּוֹצֵא"
אפיקא,הוֹצִיאָה
אפיקו,"הוציאו (עבר, ציווי)"
