ליה,לו
ליה,לּוֹ
ליהוי,להיות
ליואה,לוי
ליחזי,שיראה
ליחזי,לראות
ליחמותהון,לְיַחְמֵנָּה
ליט,אָרוּר
ליטא,אֲרוּרָה
ליי,לאן
לייא,"לאן, היכן"
לייט,מקלל
ליך,לָךְ
ליך,לך (לנקבה)
ליכא,(=לא איכא) אין
ליכא,אין
לילון,לָיְלָה
ליליא,לַיְלָה
ליליא,לילה
לימא,"יאמר, נאמר"
לימא,נאמר
לימא כתנאי,נאמר כתנאים?
ליסטאה,גזלן
ליסטות,גזלנות
ליסטים,גזלן
ליסטין,גזלן
ליעול,יכנס
ליפלוג,יחלוק
ליפתן,קינוח סעודה
ליקרי,לקרוא
ליקריה,(=ל-יקריה) על כבודו
לישן,שָׂפָה (שפת דיבור)
לישנא,"לשון (צורת דיבור), נוסח"
לישנא,לשון
לישנא בישא,לשון הרע
לישנא בתרא,"נוסח אחרון (בד""כ הוא קובע)"
לישנא מעליא,לשון נקיה
לישנהון,שְׂפָתָם
לישתעי,ידבר
לית,אין
לית,"אֵין, לֹא"
לית לה מגרמה ולא מידי,אין לה מעצמה כלום
לית לן בה,"אין אנו מקפידים, לא מדובר על זה, לא שייך בזה"
לית תננא בלא אשא,אין עשן בלי אש
ליתא,אין
ליתהא,אֵינֶנָּה
ליתו,יבואו
ליתוביה דעתיה,לישב את דעתו
ליתוהי,אֵינֶנּוּ
ליתיב,"לִיתֵּב. ישב, יתן"
ליתך,אֵינְךָ
ליתני,שישנה
לך,אֵלֶיךָ
לכאורה,"בסקירה ראשונה, ממבט ראשון"
לכון,לָכֶם
למא,לָמָּה
למאי,לְמַה
למאי הלכתא,לְמַה ההלכה?
למאי נפקא מינה,מה יוצא ממנה (איזה חידוש בהלכה)
למבכי,לִבְכּוֹת
למבני,לִבְנֹת
למבני,לבנות
למבת,לָלוּן
למגז,לִגְזֹז
למגזר,לְהִמּוֹל
למגנא,לחינם
למדחל,ליראה
למדכר,לִזְכֹּר
למהוי,לִהְיוֹת
למהוי,להיות
למהפך,הָפְכִּי
למזבן,"לקנות, לִשְׁבָּר (לקנות)"
למחזי,לִרְאוֹת
למחטי,לחטוא
למחמי,לראותה
למחנט,לַחֲנֹט
למטל,לָשֵׂאת
למיגז,לָגֹז
למידע,לָדַעַת
למידעה,לְדַעְתָּה
למיהדר,לחזור
למיזל,ללכת
למיזל,"לִבְרֹחַ, לָלֶכֶת"
למיחש,לחשוש
למיחת,לָרֶדֶת
למיטר,לִשְׁמֹר
למיכל,"לֶאֱכָל, לְמַאֲכָל"
למיכלינהו,לאכול אותו
למיכס,לִשְׁחֹט
למילד,לָלֶדֶת
למילט,לְקַלֵּל
למימר,להגיד
למימר,"לֵאמֹר, לְקוֹל"
למימר,לומר
למימרא,לומר
למימרי,בְּקֹלִי
למיסב,לָקַחַת
למיסק,לעלות
למיעבד,לעשות
למיעל,לָבוֹא
למיפק,לצאת
למיצד,לָצוּד
למיקם,לָקוּם
למירתה,לְרִשְׁתָּהּ
למירתך,לְרִשְׁתְּךָ
למישרי,להתיר
למיתב,לָשֶׁבֶת
למיתי,"לָבוֹא, לָלֶכֶת"
למכנש,לאסוף
למלבש,לִלְבֹּשׁ
למללא,לְדַבֵּר
לממחי,לְהַכּוֹת
לממלי,לִשְׁאֹב
לממני,"לִמְנוֹת, לִסְפֹּר"
לממת,לָמוּת
למן די יצבא,למי שירצה
למסב,לָקַחַת
למסגד,לְהִשְׁתַּחֲוֹת
למסגי,לָרֹב (להתרבות)
למספדה,לספוד אותה (בסמיכות)
למעבד,לַעֲשׂוֹת
למעבד,לעשות
למעבדה,לַעֲשֹׂתוֹ
למעירוק,לָנוּס
למפלח,לַעֲבֹד
למפלח,לעבוד
למפלחה,לְעָבְדָהּ
למפשר,לִפְתֹּר
למציוה,ינקוה
למקבר,לִקְבֹּר
למקדם,להקדים
למקטלה,לַהֲמִיתוֹ
למקטלך,לְהָרְגֶךָ
למקני,לָקַחַת
למקרב,לִנְגֹּעַ
למרעי,לִרְעוֹת
למשבק,לַעֲזֹב
למשכב,לִשְׁכַּב
למשלט,לִמְשֹׁל
למשמע טוב וביש,לשמוע טוב ורע
למשעין,לצפות
למשתי,לִשְׁתּוֹת
למתב,לָשֶׁבֶת
למתבע,לִדְרֹשׁ
למתבר,לִשְׁבֹּר
למתוב,לָשׁוּב
למתן,לָתֶת
לן,לנו
לן לון ליה,לנו להם לו
לנא,"אֵלֵינוּ, לָּנוּ"
לנא,לנו
לנחמותה,לְנַחֲמוֹ
לנשקא,לְנַשֵּׁק
לסהדו,לעדות
לסוברא,לָשֵׂאת
לסטים,שודדים
לעאן,עוסקים
לעדן,לְעֵת
לעילא,למעלה
לעלתא,לְעֹלָה
לפום,לפי
לפום,"לפי, על פי"
לפום חורפא שבשתא,ככל שאדם יותר חריף כן גדולה טעותו
לפום צערא אגרא,לפי הצער השָׂכר
לפיכך,לכן
לפנאה,לְהוֹרֹת
לפקדא,לְצַוֹּת
לפרוקיה,לפדותו
לפתיה,לְרָחְבָּהּ
לפתן,קינוח סעודה
לצלאה,לָשׂוּחַ (להתפלל)
לקביל,לִקְרַאת
לקביל,"אל, נגד, מול"
לקבלה,כְּנֶגְדּוֹ
לקבליהון,כנגדם
לקבלך,לְנֶגְדֶּךָ
לקדמות,לִקְרַאת
לקדמותה,"לִקְרָאתָהּ, לִקְרָאתוֹ"
לקדמותהון,לִקְרָאתָם
לקדמותך,לִקְרָאתְךָ
לקדמותנא,לִקְרָאתֵנוּ
לקדמי,לְפָנַי
לקוטו,לִקְטוּ
לקולא,להקל בהלכה
לקטלא,לְהָמִית
לקי,"לוקה, מקבל מלקות"
לקימא,לְהַחֲיוֹת
לקין,דַּקּוֹת
לקיתא,דַּקּוֹת
לקמיה,לפניו
לקמן,לפנינו
לשבקינהו,"לעזוב אותם, לא לגעת בהם"
לשדורי,לשלוח
לשואה,לָשׂוּם
לשון של זהורית,"חוט השני, סרט צמר צבוע באדום"
לשיזבא,"להציל, לִפְלֵיטָה"
לשית,לתת
לשלם,לְשָׁלֹם
לשמיא,הַשָּׁמַיְמָה
לשנויי,לתרץ
לתמן,לְשָׁם
לתני,שְיִשְנֶה
לתתא,למטה
"ל""א",לא אמרינן - לא אמרנו
"ל""ג",לא גרסינן
"ל""ק","לא קשיא, אין כאן קושיה"
"ל""ש",לא שנא-לא שונה (אין הבדל)
"ל""ת","[מצוות] לא תעשה, מצוות לא תעשה מן התורה"
"לאח""ז",לאחר זה
"לאח""ר",(סימן)
"לבד""ו",(סימן)
"לבונ""ה",(סימן)
"לג""ש","לגזירה שוה, בא כדי ללמד גזירה שוה"
"לגז""ש","לגזירה שוה, בא כדי ללמד גזירה שוה"
"לד""ה","לדברי הכל, לדעת כולם"
"לה""ר",לשון הרע
"להני""א","(סימן, ראה עירובין-דף סג - א)"
"לוי""ה",(סימן)
"לי""י",להשם-לקדוש ברוך הוא
"לכ""ע",לכולי עלמא-לכל הדעות
"לכ""ש",לא כל שכן ?
"לכה""ג",לכהן גדול
"לכו""ע",לכולי עלמא-לכל הדעות
"למ""ד",למאן דאמר-לדעתו של מי שאמר ש... (לפי שיטתו של מי שאמר ...)
"למ""ה",למדינת הים
"למד""ה",למדינת הים
"למדה""י",למדינת הים
"למה""ד",למה הדבר דומה
"למודי""ם",(סימן)
"למשי""ח",(סימן)
"לע""ה",עולם הבא
"לע""ז","לעבודה זרה, לשון עם זר"
"לע""ט",לב עיניים ??
"לרע""ק",רבי עקיבא
"לש""ש",לשם שמים
מַאי חָזֵית,מה ראית
מאי,"מַאי טַעֲמָא. מה-טעם, מַאי חָזֵית. מה ראית, מַאי אִירְיָא. מה תפיסה, למה תפס, מה? מה הוא?"
מאי,מה
מאי איכא,מה ההבדל
מאי איכא למימר,מה יש להגיד
מאי איריא,למה דווקא
מאי בנייהו,מה המחלוקת בניהם
מאי דכתיב,מהו שכתוב
מאי טעמא,מה הטעם
מאי כולי האי,מה כל זה?
מאי לאו,"וכי לא, האין זה"
מאי ניהו,מה הוא?
מאי נפקא מינה,מה יוצא ממנה
מאי נפקא מינה,מה יוצא מזה (איזה הבדל יוצא מזה להלכה)
מאי קראה,מהו הכתוב (מאיזה פסוק למדנו את זה)
מאי שנא,מה שונה
מאיך,שפל רוח
מאים,אוּלַי
מאית,מֵת
מאכולת,כינה
מאללין,מְרַגְּלִים
מאן,מי
מאן,מִי
מאן דאמר,"מי שאומר, (יש דעה בהלכה)"
מאן דאמר,מי שאמר
מאן דאפיק לישנא בישא,מי שהוציא לשון הרע
מאן דזעיר איהו רב,מי שקטן הוא גדול
מאן דלא זכי באתרא דא,מי שאינו זוכה במקום זה
מאנא,כלי
מאנהא,בגדיה
מאני,"כלים,בגדים"
מאני,כלים
מאניה,בגדיו
מאנין,כֵּלים
מאסרין,מְאַלְּמִים
מארי,בעלֵי
מארי דדינא,בעלי הדינים
מארעך,מֵאַרְצְךָ
מאתא,עיר
מאתן,מָאתַיִם
מבועי,מַעְיְנֹת
מבטלינן,מבטלים
מבנת,בְּנוֹת
מבעי,"נצרך, צריך"
מברא,מִחוּץ
מברא,"מעבורת, גשר"
מבראי,מבחוץ
מבתש,מפציר
מגדלא,מִגְדַּל
מגדנין,מִגְדָּנֹת
מגו,"מתוך, (מתוך שיכול היה לעשות \ לומר כך ולא אמר \ עשה)"
מגו,"מִתּוֹךְ, מִבַּיִת (מבפנים)"
מגואי,מבפנים
מגזר,הִמּוֹל
מגנדרין,מגלגלים
מדאיתני,מֵעוֹדִי
מדאכתי,מכיוון שעדיין
מדבחא,מִּזְבֵּחַ
מדבחן,מזבחות
מדברא,מִּדְבָּר
מדברא,מדבר
מדברנא,מנהיג
מדורין,קִנִּים
מדינאי,"הַמְּדָנִים (שם של עם), מִדְיָנִים"
מדינחא,קֵדְמָה
מדכר,מוזכר
מדכר,מַזְכִּיר
מדכרינן,אנו מזכירים
מדע,יָדֹעַ
מדעם,"משהו, כל שהוא"
מדעם,מְאוּמָּה
מה ל... שכן ..,דבר זה משונה מחבירו שהרי ...
מה מצינו ב... אף ב...,מה שמצאנו בענין זה חל עם על ענין זה
מהדרי,מחזירים
מהו דתימא,מהוא שתאמר
מהו דתימא,שמא תהא סבור ש...
מהיכא,"מהיכן, מאיין"
מהיכא תיתי,מנין בא (נלמד) הדבר
מהימנא,נאמן
מהימנותא,אמונה
מהימנין,פְּקִדִים
מהכא,מכאן
מהלך,הֹלֵךְ
מהני,"מהנה, מועיל, מֵהָנֵי(=מן הני). מאלה"
מהניא,"מועיל, משבח"
מוחלפת השיטה,חזר בו פלוני מדבריו
מוכחא,מוכח
מוכני,מכונה
מומתי,"אָלָתִי, שְּׁבֻעָתִי"
מוקים,"מעמיד, מתרץ,מבאר"
מוקימנן,"אנו מעמידים, נעמיד"
מוקיר,מכבד
מוקמי,מעמידים
מותא,מוֹת
מותבך,מוֹשָׁבֶךָ
מותבנהון,"מֹשְׁבֹתָם, מוֹשָׁבָם"
מותה,מוֹתוֹ
מותנא,חבל
מותני,מיתות
מזבלא,מחצלת
מזיא,שיער
מזייא,שיער
מזייה,שערו
מחבל,"מַשְׁחִית, מְשָחֵת (מקלקל)"
מחבלהון,מַשְׁחִיתָם
מחבלין,מַשְׁחִתִים
מחדדנא,מחודד
מחו,הִכּוּ
מחוזא,קישורים
מחוי,מַגִּיד
מחוי,מראה בידו
מחונון,היכה אותם
מחזי,מַרְאֶה
מחזי,נראה
מחזיהן,מַרְאֵיהֶן
מחי,"מחה, מחק"
מחי,למחות
מחייך,מְצַחֵק
מחייכו,צוחקים
מחיך,מְצַחֵק
מחמע,מחמיץ
מחמעי,מחמיצים
מחתא,אריג
מטא,הגיע
מטא,"בא, הגיע"
מטו,"הגיעו, באו"
מטו,סליחה
מטונך,לשיטתך
מטותא,בקשה
מטי,הגיע
מטי,מגיע
מטי,מַגִּיעַ
מטי ולא מטי,נוגע ואינו נוגע
מטלטל,נָע
מטלטלי,חפצים וכלים
מטלטלים,חפצים וכלים
מטלטלין,חפצים וכלים
מטלן,סֻכֹּת
מטלנוהי,מַסָּעָיו
מטלע,צֹלֵעַ
מטרא,"גֶּשֶׁם, מִשְׁמַר"
מטרא,"מטר, גשם"
מטרוניתא,גברת חשובה
מטרוניתא,אשה חשובה
מטרפא,נפעמה
מטרפולין,עיר חשובה
מטרקא,שוט
מטרתא,שק
מי דמי,וכי הדבר דומה לחבירו ?
מי דמי,כלום דומה? יש הבדל בין הדברים
מי הוי,כלום יהיה?
מי סברת,האם אתה סובר
מיא,מים
מיא,מַּיִם
מיבעי,"נצרך, צריך"
מיבעי,"נצרך, נדרש"
מיבעי ליה,-נצטרך לו
מיבעיא,"נצרכה, צריך לומר"
מיגו,מתוך (מתוך שיכולתי אפילו לעשות \ לומר כך ולא אמרתי \ עשיתי)
מיגו,מתוך
מיגמר,ללמוד
מיגנדר,מתגלגל
מיגר,לשכור
מידא,מִיַּד
מידי,"משהו, כלום, דבר"
מידי איריא,האם זו ראיה
מידי דהוה,למה הדבר דומה - ל...
מידיהון,מִיָּדָם
מידעם,דבר מה
מיהא,"מכל מקום, (=מן הא) מִזּוֹ"
מיהא,על כל פנים
מיהו,אבל
מיהת,על כל פנים
מיהת,מכל מקום
מיחדדין,"מחודדות, חריפות"
מיחזי,נראה
מיחם,חֹם
מיחת,יָרֹד
מיטרא,מטר
מיטרא,גשם
מיטרח,לטרוח
מיין,מַיִם
מיירי,עוסקים
מיית,מת
מייתבא,מיושבת
מייתי,מביא
מייתית,מביא
מיכל,"מַאֲכָל, אָכֹל"
מיכלא,"אוכל, האוכל"
מיכלהון,אָכְלָם
מילדה,לִדְתָּהּ
מילוליה,דיבורו
מילי,דברים
מיליה,דברו (הדבר שהוא אמר או עשה)
מילייהו,דבריהם
מילין,דברים
מילך,מִילָך - דבריך (מלותיך)
מילתא,דבר
מילתא,"מילה, דָבָר"
מימרי,קולי
מימרך,פִּיךָ (מה שאתה אומר)
מינאי,ממני
מינה,ממנה
מינהון מניה,מהם ממנו
מיניה,ממנו
מינייהו,מהם
מינציא,מתקוטטת
מיסתפי,"מפחד,מתיירא"
מיצרא,"תחום, מיצר, גבול"
מיקטל,נהרג
מישר,"עֵמֶק, כִּכַּר"
מישרא,כִּכָּר
מית,מֵת
מיתא,מֵתָה
מיתה,מֵתוֹ
מיתו,מֵתוּ
מיתותא,מות
מיתי,"בֹּאִי, מֵתִי, אביא, מֵבִיא"
מיתיבי,מקשים קושיה
מיתיבי,משיבים
מיתיביה,משיבים
מיתיהון,בֹּאָם
מיתך,"בֹּאֲךָ, מֵתְךָ"
מיתנא,חבל
מיתת,מתה
מכא,מִזֶּה
מכדי,"הנה, מעתה"
מכדין,מאז
מכילן,מידות
מכילתא,"קובץ הלכות, קובץ"
מכילתא דדינא,מידת הדין
מכסיף,מבייש
מכתשין,נְגָעִים
מלאכא,מַלְאַךְ
מלאכה,מַלְאָכוֹ
מלאכיא,מַּלְאָכִים
מלאפום,חולָם
מלבר,מחוץ
מלגו,מבפנים
מלגיו,מבפנים
מלה,מֶלָה - דבר
מלה מלין,דָבָר דְבָרים
מלו,מִלְאוּ
מלונון,מילאו אותם
מלות,"מֵאֵת, מֵעַל"
מלותה,מֵאִתּוֹ
מלותי,מֵאִתִּי (ממני)
מלותכון,מֵאִתְּכֶם
מלחא,מֶּלַח
מלטטיך,אֹרְרֶיךָ
מלטטך,מְקַלֶּלְךָ
מלי,"סָגָר, מַלֵּא"
מליכו,מָלְכוּ
מליל,דִּבֵּר
מלילו,דִּבְּרוּ
מלילית,דִּבַּרְתִּי
מלילת,"דיברה, דִּבְּרָה"
מלילתא,דִּבַּרְתָּ
מלין,מְלֵאֹת
מלין פיוסא הוא,דברי פיוס הוא
מליתא,"מְּלֵאוֹת, שֹּׁאֲבֹת"
מלכא,מֶלֶךְ
מלכא,מלך
מלכא עלאה,מלך עליון
מלכון,לְאֻמִּים (מלכויות)
מלכיא,מְּלָכִים
מלכין,מְלָכִים
מלכתא,מלכה
מלל,דִּבֶּר
מללותהון,דַבְּרָם
מללית,דִּבַּרְתִּי
מללתא,דִּבַּרְתָּ
מלמעבד,מֵעֲשֹׂת
מלמשבק,מִנְּשֹׂא (מלסחוב אותו)
מלעלא,"מֵעָל, מִלְמַעְלָה, מִלְמַעְלָה"
מלקדמין,מִקֶּדֶם
מלרע,מִתַּחַת
מלת,"שאבה, מילאה"
מלתא,דָבָר
ממאי,"ממה, מניין"
ממה נפשך,"מה רצונך, הרי בכל מקרה..."
ממון,בֶּצַע
ממוניה,ממונו
ממלל,מְדַבֵּר
ממנא,ממונה
ממרי,אִמְרָתִי (מה שאמרתי)
מן,מִי
מן קדם,מפני
מן קדמיהון,מפניהם
מן קדמיכון,מפניכם
מן קדמך,מפניך
מנא,מהיכן
מנא,כלי
מנה,"מִמֶּנָּה, מִמֶּנּוּ, מֵעָלֶיהָ, ממנה"
מנהון,מהם
מנהון,מֵהֶם
מני,כלים
מני,"מִמֶּנִּי, הִפְקִיד (מינה אותו), כְּלֵי, סְפֹר"
מניה,הפקיד אותו (מינה אותו)
מניה,ממנו
מניהון,כְּלֵיהֶם
מנייהו,מהם
מניך,מִמֵּךְ
מניכא,רְבִד
מניכון,כְלֵיכֶם
מנין,"מִסְפָּר, כלים"
מניתי,נָתַתִּי (מניתי לתפקיד)
מנך,"מִמֶּךָּ, מִמְּךָ"
מנכון,מִכֶּם
מנלן,מנין לנו
מנן,מֵאַיִן
מננא,"מִמֶּנּוּ, מאיתנו"
מנע,עָזַב
מנעו,חדלו
מנעית,חשכתי ממך
מנעת,חָשַׂכְתָּ
מנעתא,חָשַׂכְתָּ
מנקתא,"מֵינִיקוֹת, מֵינֶקֶת"
מנשבא,מְרַחֶפֶת
מסאב,טמא
מסאבותא,טומאה
מסאנא,נָעָל
מסאנא,נעל
מסאניה,נעלו
מסוף,"מִקְצֵה, מִקֵּץ"
מסיק,נושה
מסכנא,עני
מסנא,נַעַל
מסר,"נָתַן, מִגֵּן"
מסרי,מוסרים
מסתברא,מסתבר
מסתחרן,מסתובבות
מסתפי,"מפחד,מתיירא"
מסתפי,"חושש, מפחד"
מסתפינא,"אני מתיירא, מפחד"
מעדיא,הָרָה
מעדן,מֵאָז
מעהא,"מעייה, בִטְנָהּ"
מעוהי,"גחון, ביטנה (הבטן שלה)"
מעייל,מכניס
מעיכי,"מֵּעַיִךְ, בִטְנֵךְ"
מעין,"בָטֶן (בטן, מעיים)"
מעיקרא,מהתחלה
מעיקרא,מתחילה
מעך,גְּחֹנְךָ
מעלוהי,מֵעָלָיו
מעלווהי,מֵעַל (מעליו)
מעלוי,מֵעַל
מעלי,"ערב, יום שלפני"
מעלי,"ערב, טוב, מועיל"
מערבא,"מערב, ארץ ישראל"
מערבא,יָמָּה
מערתא,מְּעָרָה
מפיק,מוציא
מפלגי,נחלקו
מפק,יָצוֹא
מפקדא,מצוּוה
מפקדא,צֻוֵּיתָה
מפקדינן,אנו מְצוּוִים
מפקי,מוציאים
מפקין,מוציאים
מפריש,מַבְדִּיל
מפרקו,מתרצים
מפשינך,מַפְרְךָ
מצביה,רצונו
מצותא,רִיב
מצי,יכול
מצי,"יכול, יכולים"
מצי למימר,יכול לומר (דבר המתקבל על הדעת)
מציא,יכולה
מציעא,אמצעי
מציעתא,אמצעית
מצלח,מַצְלִיחַ
מצלי,"מתפלל [ים], מתפלל"
מצרא,"תחום, מיצר, גבול"
מצרא,גבול
מצראה,מִצְרִי
מצראי,"מִּצְרִים, מִצְרַיִם, הַמִּצְרִים"
מצריתא,"הַמִּצְרִית, מִצְרִית"
מצרתא,מִּצְרִית
מקבל,מִנֶּגֶד
מקדמהה,מִפָּנֶיהָ
מקדשתא,קְדֵשָׁה
מקטרי,קושרים
מקיף,סּוֹבֵב
מקלעי,נקלעים
מקמי,מלפני
מקרי,מלמד
מר,אדון
מרא,"מעדר, אדון"
מרבו,"מגדלים, מרבים"
מרבינתיה,"אומנתו, מיניקתו"
מרגג,נֶחְמָד
מרגלא,מרגלית
מרגלא בפומיה,רגיל היה לומר
מרגליטין,מרגליות
מרגלן,מרגליות
מרחיק,מֵרָחֹק
מרחמוהי,מֵרֵעֵהוּ
מריה,אדונו
מרייהו,אדוניהם
מריקין,מְרִיקִים
מרירא,מָרָה
מרנני,מרננים
מרתחא,"מרתיחה, מחממת"
משאכא,אורך
משבחיתו,משבחים אתם
משבשתא,נוסח משובש
משדרנא,אני שולח
משוי,שָׂם
משוניתא,תל עפר שאינו ניתן לעיבוד חקלאי
משחא,שָׁמֶן
משחא,"מדה, שמן"
משחתא,מידה
משיה,משמש אותו
משיחא,משיח
משיש,מישש
משך,אורך
משכונא,עֵרָבוֹן
משכח,מוצא
משכחת,"אתה מוצא, מוצאת, נמצא"
משכנא,אֹהֶל
משכנה,"אָהֳלֵי, אָהֳלוֹ (האוהל שלו)"
משלהי,עָיֵף
משמע,"פירוש הדבר, זאת אומרת, משמיע, מלמד"
משני,מתרץ
משקן,משקים
משרא,ערוגה
משרו,שרים
משרי,מחנה
משריין,מחנות
משרין,מַחֲנוֹת
משריתא,מַחֲנֵה
מששתא,מִשַּׁשְׁתָּ
משתיא,מִשְׁתֶּה
משתיירי,נשארים
משתכח,נמצא
משתכחא,נמצא
משתמטא,"נופלת, מתחמקת"
משתעי,מדבר
מתא,עיר
מתאכל,יֵאָכֵל
מתאכלי,נאכלים
מתאמרא,נאמרת
מתבעי,נִדְרָשׁ
מתהפכא,מִּתְהַפֶּכֶת
מתחות,מִתַּחַת
מתחלא,מתחילה
מתיב,"השיב, הקשה"
מתיב,מֵשִׁיב
מתיבין,משיבים (מחזירים)
מתיבתא,ישיבה
מתיחמן,התייחמו
מתייהו,יערם
מתייך,בואך
מתילי,משולים
מתכנש,נֶאֱסָף
מתכנשין,נאספים
מתל,היה דומה
מתמן,מִשָּׁם
מתני,"מַתְנֶה (תְנַאי), מתניים, חבלים, מַשנה, שונה, לומד"
מתנינן,שונים
מתניתא,משנָה
מתניתין,מִשְנָתֵנוּ
מתנן,מַתָּנֹת
מתעבד,עֹשֶׂה
מתעברין,נעברים
מתעברן,נעברים
מתעלין,מוּבָאִים
מתעסק,עושה מלאכה שאינו מתכוון לעשייתה
מתפקא,מוּצֵאת
מתקיף,מקשה קושיה
מתקיף לה,מקשה עליה
מתקל,משקל
מתקלא,"מאזניים, לשון מאזניים, משקל"
מתקלה,מִשְׁקָלוֹ
מתקלהון,מִשְׁקָלָם
מתקנינן,אנו מתקנים
מתרגמן,מֵּלִיץ
מתרמי,מזדמן
מתתא,מלמטה
מתתרכין,מגורשים
מל',מלשון
מתני',"המשנה שלנו (מתניתין), ששנינו"
"מ""א",מלכים א
"מ""ב",מלכים ב
"מ""ד","מאי דכתיב : מהו שכתוב, מאן דאמר : זה שאמר, מי שאמר, מאי דכתיב - מה שכתוב"
"מ""ה",משום הכי-משום כך
"מ""ט","מאי טעמא, מה סיבת הדבר"
"מ""י",(סימן)
"מ""ל",מה לי-מה ההבדל בין
"מ""מ",מכל מקום
"מ""ס",מור סבר-רב פלוני סובר כך ורב פלוני סובר כך
"מ""ע",מצוות עשה
"מ""ש",מה שאמר
"מא""ל",מאי איכא למימר-מה יש לומר
"מאוד""ך","(סימן, ראה פסחים-דף קיט - א)"
"מאפ""ו",(סימן)
"מבע""י",מבעוד יום (לפני החשיכה)
"מבעו""י",מבעוד יום (לפני החשיכה)
"מג""פ",שלוש פעמים
"מג""ש",מגזירה שוה (אחת משלוש עשרה מידות שהתורה נדרשת בהם)
"מגימ""ל",מגזירה שוה (אחת משלוש עשרה מידות שהתורה נדרשת בהם)
"מד""ס",מדברי סופרים-דבר שאסור מדרבנן
"מד""ת",מדברי תורה-דבר שאסור מדאורייתא
"מדא""ר",מדאמר רבי...-מזה שאמר רבי...
"מדה""י",מדינת הים (מעבר לים)
"מה""מ",מנא הני מילי-מנין לנו דבר זה
"מה""ש",מלאכי השרת
"מהמנ""י",(סימן)
"מו""ר","מורי ורבי, מורינו ורבינו ..."
"מו""ש",מוצאי שבת
"מוצ""ש",מוצאי שבת
"מות""ר",(סימן)
"מחלי""ף","(סימן, ראה עירובין-דף סג - א)"
"מט""ה",(סימן)
"מיגי""ל",(סימן)
"מיד""ת",(סימן)
"מיו""ט",מיום טוב
"מיוה""כ",מיום הכיפורים
"מכוסי""ן",(סימן)
"מכני""ס","(סימן, ראה חולין-דף ד - א)"
"מכפ""ר",(סימן)
"ממ""ה",מלך מלכי המלכים
"ממ""נ",ממה נפשך-מה אתה רוצה
"ממה""ק",(סימן)
"ממה""ר",(סימן)
"ממו""ן",(סימן)
"ממקגט""י",(סימן)
"מנ""ל",(=מנא לן) מנין לנו
"מנ""ח",מקרא [מגילה] ניסים חיים (שהחיינו)
"מנ""ל",מנא לן-מאין לנו
"מנא ה""מ",מניין הדברים הללו? מאיפה אתה לומד את זה?
"מנה""מ","(=מנא הני מילי), מנין הדברים האלה? מאיזה פסוק בתורה אתה לומד אותם?"
"מנה""מ",מנא הני מילי-מאין לנו דברים אלו
"מנע""ל",(סימן)
"מנצפ""ך",האותיות הסופיות בלשון הקודש
"מע""ג",מעל גבי
"מע""ז",מעבודה זרה
"מעי""ט",מערב יום טוב
"מעי""ן",(סימן)
"מעיו""ט",מערב יום טוב
"מעכו""ם",מעובד כוכבים ומזלות
"מעל""ע",מעת לעת
"מענ""ה",(סימן)
"מעשי""ה",(סימן)
"מעשי""ם",(סימן)
"מצור""ע",(סימן)
"מקמצ""ה",(סימן)
"מקצ""ר",(סימן)
"מר""ע",מרבי עקיבא-בניגוד לדעת רבי עקיבא
"מר""ש",מרבי שמעון-בניגוד לדעת רבי שמעון
"מרה""י",מרשות היחיד
"מרה""ר",מרשות הרבים
"מרח""ם",(סימן)
"מריב""ל",מרבי יהושע בן לוי - בניגוד לדעת רבי יהושע בן לוי
"מש""ה",משום הכי - משום כך
"משא""כ",מה שאין כן
"משגע""ח",[בני] מריבה [בני] שכרות [בני] גרושת הלב [בני] ערבוביא [בני] חצופה
"משו""ה",משום הכי - בגלל זה
"משיבי""ן",(סימן)
"משכ""ן",(סימן)
"משפ""ט",(סימן)
"משרע""ה",משה רבינו עליו השלום
"משרשי""א",(סימן)
"מת""ל",מה תלמוד לומר - מה זה בא ללמד
"מת""ק",מתנא קמא-בניגוד לדעתו של תנא קמא (התנא הראשון שדבר כאן)
"מתאו""ה",(סימן)
"מתרי""ג",משש מאות ושלוש עשרה
נאגנא,חריץ
נאים,"נרדם, נם, ישן"
נאים,יְשֵנים
נבגא,ענף
נבית,נָלִין
נבעין,נובעים
נגד,"משך, נטל,היכה"
נגדא,מנהג
נגדי,מושכים
נגדיה,"הִלְקָהוּ, הַלְקֵהוּ"
נגה,האיר
נגהי,"אור ל.., לילי.."
נגהי,אור
נגובו,חָרְבוּ
נגזר קים,נכרות ברית
נגיד,חלש
נגיד,לקה
נגידו,משכו
נגרא,נגר
נדא,צבע סגול
נדיר,קורה מעט פעמים - לעיתים רחוקות
נהור,צֹהַר
נהורא,"מָּאוֹר, אוֹר"
נהורא,אור
נהורא דלא נהיר,אור שלא מאיר
נהוריא,מְּאֹרֹת
נהורין,מְאֹרֹת
נהורין,אורות
נהי,נִהְיֶה
נהי,יהי [מילת פתיחה להנחה]
נהי,נניח
נהיזותא,נזיפה
נהיקו,צעקות
נהיר,מאיר
נהיר,ברור
נהירו,אור
נהירין,מאירים
נהך,"נֵלֵכָה, נָבוֹא"
נהלה,אצלה
נהליה,אצלו
נהמא,לחם
נהמא דכיסופא,לחם בושה
נהר,האיר
נהרא,נהר
נהרא,"נהר, מאירה"
נהרא,"נָהָר, יאור, נהר"
נוגד ונופק מן קדמוהי,עובר ויוצא מלפניו
